date,uniquekey,Complaint Type
8/28/2020,255,Noise - Vehicle
8/28/2020,964,Noise - Residential
8/27/2020,837,Noise - Residential
8/27/2020,220,Noise - Vehicle
8/27/2020,12,Noise - Helicopter
8/27/2020,123,Noise
8/27/2020,417,Noise - Street/Sidewalk
8/27/2020,19,Noise - Park
8/27/2020,117,Noise - Commercial
8/26/2020,101,Noise - Commercial
8/26/2020,30,Noise - Park
8/26/2020,69,Noise - Helicopter
8/26/2020,156,Noise
8/26/2020,557,Noise - Street/Sidewalk
8/26/2020,2,Noise - House of Worship
8/26/2020,631,Noise - Residential
8/26/2020,313,Noise - Vehicle
8/25/2020,27,Noise - Park
8/25/2020,132,Noise
8/25/2020,15,Noise - Helicopter
8/25/2020,377,Noise - Street/Sidewalk
8/25/2020,66,Noise - Commercial
8/25/2020,185,Noise - Vehicle
8/25/2020,499,Noise - Residential
8/24/2020,27,Noise - Helicopter
8/24/2020,103,Noise
8/24/2020,562,Noise - Street/Sidewalk
8/24/2020,66,Noise - Park
8/24/2020,78,Noise - Commercial
8/24/2020,1,Noise - House of Worship
8/24/2020,1399,Noise - Residential
8/24/2020,251,Noise - Vehicle
8/23/2020,2,Noise - House of Worship
8/23/2020,55,Noise
8/23/2020,16,Noise - Helicopter
8/23/2020,1899,Noise - Street/Sidewalk
8/23/2020,127,Noise - Park
8/23/2020,256,Noise - Commercial
8/23/2020,711,Noise - Vehicle
8/23/2020,2628,Noise - Residential
8/22/2020,3,Noise - House of Worship
8/22/2020,1779,Noise - Street/Sidewalk
8/22/2020,9,Noise - Helicopter
8/22/2020,101,Noise
8/22/2020,105,Noise - Park
8/22/2020,268,Noise - Commercial
8/22/2020,478,Noise - Vehicle
8/22/2020,2106,Noise - Residential
8/21/2020,32,Noise - Park
8/21/2020,117,Noise
8/21/2020,33,Noise - Helicopter
8/21/2020,1237,Noise - Street/Sidewalk
8/21/2020,240,Noise - Commercial
8/21/2020,407,Noise - Vehicle
8/21/2020,967,Noise - Residential
8/20/2020,2,Noise - House of Worship
8/20/2020,34,Noise - Park
8/20/2020,47,Noise - Helicopter
8/20/2020,107,Noise
8/20/2020,955,Noise - Street/Sidewalk
8/20/2020,147,Noise - Commercial
8/20/2020,295,Noise - Vehicle
8/20/2020,792,Noise - Residential
8/19/2020,1,Noise - House of Worship
8/19/2020,677,Noise - Street/Sidewalk
8/19/2020,18,Noise - Helicopter
8/19/2020,132,Noise
8/19/2020,19,Noise - Park
8/19/2020,116,Noise - Commercial
8/19/2020,265,Noise - Vehicle
8/19/2020,708,Noise - Residential
8/18/2020,666,Noise - Residential
8/18/2020,250,Noise - Vehicle
8/18/2020,136,Noise
8/18/2020,29,Noise - Helicopter
8/18/2020,599,Noise - Street/Sidewalk
